# ffightae_cps2_arrange_trigger_map: see REBUILDING.md
0x0152	play	1	tr25	Opening SONG - entry cue, every attract cycle	
0x0140	play	1	tr02	R1 Slum (also R3/R6 reuse on CD side)	
0x0141	play	1	tr03	R1 Slum 2 (Basement)	law + long render sustained; CPS1 0x41
0x0142	play	1	tr04	R2 Subway	
0x0143	play	1	tr05	R2 Subway Park 2 (Sodom Fight)	law + long render sustained; CPS1 0x43
0x0144	play	1	tr06	R3 West Side (Cage Match)	law + long render sustained; CPS1 0x44
0x0145	play	1	tr07	R5 Bay Area 1	law + long render sustained; CPS1 0x45
0x0146	play	1	tr08	R5 Bay Area 2 (Restroom)	law + long render sustained; CPS1 0x46
0x0147	play	1	tr09	R5 Bay Area 3 (Abigail Fight; also Round 6)	law + long render sustained; CPS1 0x47
0x0148	play	1	tr10	R4 Industrial Area 1	law + long render sustained; CPS1 0x48
0x0149	play	1	tr11	R4 Industrial Area 2 (Rolento Fight)	law + long render sustained; CPS1 0x49
0x014c	play	1	tr12	Bonus Stage	law + long render sustained; CPS1 0x4c
0x0150	play	1	tr13	Round Start (area-map screen)	
0x0151	play	1	tr14	Game Over	law + long render; CPS1 0x51
0x0153	play	1	tr18	Continue (countdown)	law + long render; CPS1 0x53
0x0154	play	1	tr26	Ending (cutscene)	law + long render; CPS1 0x54; same authored 3-pass loop as the CPS1 pack
0x0155	play	1	tr17	Character Select	
0x0157	play	1	tr16	Round Clear	
0x0158	play	1	tr15	All Rounds Clear (area map)	law + long render (13.2 s vs tr15's 11 s); CPS1 0x58
0x03be	none	0	-	Phone RINGING (SE page; fires ONCE per boot, attract cycle 1 only)	
0x03c5	none	0	-	Phone ANSWERED click (SE page)	
0x03e2	none	0	-	Belger laugh (TV scene SE, fires x3 in ~1.4 s)	
0x0368	none	0	-	Damnd laugh (story end + stage entries)	
